date,% cloud cover,landsat
2017-06-14,2.34,landsat_8
2017-06-22,0.06,landsat_7
2017-06-30,99.94,landsat_8
2017-07-08,87.83,landsat_7
2017-07-16,0.12,landsat_8
2017-08-01,0.06,landsat_8
2017-08-09,0.06,landsat_7
2017-08-17,34.66,landsat_8
2017-08-25,1.8,landsat_7
2017-09-02,93.77,landsat_8
2017-09-10,0.61,landsat_7
2017-09-26,40.83,landsat_7
2017-10-04,0.54,landsat_8
2017-10-12,1.57,landsat_7
2017-10-20,0.06,landsat_8
2017-10-28,18.84,landsat_7
2017-11-21,0.14,landsat_8
2017-11-29,89.17,landsat_7
2017-12-07,0.14,landsat_8
